"","prevalence/incidence","climate change","tourism impact","plagioporus","transmission","fish predation","podocotyloides stenometra","spatial patterns","season effect","temperature","mechanical injury","sign description","coral mortality","urban industrial impact","uv radiation","outbreak","population structure","advance rate","disease control","ballast water","phormidium","serratia marcescens","sphingomonas","desulfovibrio","microbial assemblage","homeostatic response","bacterial assemblage","commensal bacteria","quorum sensing","pathogen metabolites","aspergillus","vibrio","baseline","gene expression","detection/diagnostic","oscillatoria","coral aggression","halofolliculina","reviews","pneophyllum coninum","snail predation","koch's postulates","fossil record","temporal pattern","thalassomonas loyana","regeneration rate","meta-analysis","sewage/nutrients","sedimentation/turbidity","ph","starfish predation","salinity","zooxanthellae photosynthetic performance","pathogen infection","fungal assemblage","depth","research framework","pathogen characterization","cirripedia association","pseudoalteromonas","tissue chemical composition","coral fecundity","coral recruitment","sulfate-reducing bacterial assemblage","mathematical model","macroalgae","light","immune response","roseofilum","colony growth","cyanobacterial assemblage","labyrinthulomycetes","aplanochytrium","zooxanthellae assemblage","remote sensing","database","chemical microenvironment","algal assemblage","fish algae farming","cytophaga-flavobacterium","zooxanthellae damage","uv absorption","aurantimonas coralicida","geitlerinema","protein expression","entocladia","host range","hurricane","mpa","ciliate assemblage","archaeal assemblage","coral diversity","seagrasses association","viral assemblage","colony morphology","microbial interactions","benthic assemblage","colony transplantation","functional structure","cyanobacterial photosynthetic performance","leptolyngbya","bacillus","method comparison","pathogen elicitor","gall crabs presence","pseudoscillatoria coralli","curvularia lunata","fish assemblage","beggiatoa","up-welling","resource allocation","lesion regeneration","microsatellites","commensal microbe metabolites","myroides","alcaligenes","turf algae","aquaria","mesophotic corals","pathogenesis","metapopulation dynamics","hermodice carunculata","fungal biomass","microbial motility","african dust","enso","sponges","zooplankton","halobacteriovorax","sea level rise","alteromonas","water current","water motion","polychaete predation","coral traits","endolithic organisms","coral cover","porpostoma guamensis","environmental xenobiotic","scolecobasidium","water dissolved oxygen","microalgal assemblage","cell associated microbial aggregates","hydrozoans"
"multiple diseases",78,6,3,0,1,0,0,28,4,11,2,12,11,3,1,7,5,1,2,0,0,0,0,0,6,0,2,0,0,0,0,1,27,1,2,0,0,0,27,0,3,1,0,21,0,0,3,8,6,1,1,2,1,0,2,7,9,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"trematodiasis",2,0,0,3,3,4,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"white syndrome",18,0,0,0,12,2,0,15,6,9,2,18,5,0,0,9,1,5,2,0,0,1,0,0,4,4,13,0,0,2,0,13,1,2,4,0,0,0,1,0,4,5,0,9,0,0,0,6,5,0,1,1,5,1,0,1,1,11,0,3,0,1,0,0,1,2,0,2,0,1,0,0,0,1,2,1,1,0,0,0,3,0,1,0,0,0,1,1,0,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"black band disease",19,1,0,0,10,3,0,16,4,13,1,14,8,0,0,6,0,11,2,0,7,0,0,1,14,2,9,0,3,10,0,1,2,3,0,3,1,0,5,0,0,0,0,14,0,0,1,6,3,2,0,1,3,0,0,2,1,10,0,0,0,0,3,2,1,0,9,1,6,0,9,0,0,0,0,0,9,1,1,0,0,0,0,5,0,0,1,1,0,0,1,1,0,0,0,1,0,0,2,2,1,1,1,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"growth anomalies",12,0,0,0,2,0,0,6,0,5,1,14,1,2,2,1,2,4,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,3,3,0,0,0,1,0,1,0,4,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"bacterial bleaching",0,0,0,0,3,0,0,0,3,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,0,22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aspergillosis",6,0,0,0,6,0,0,3,1,3,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,3,1,0,0,0,0,0,1,1,0,4,0,0,1,1,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow band disease",7,0,0,0,3,1,0,10,1,5,2,1,2,0,0,3,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"bleaching association",8,0,0,0,1,0,0,3,0,9,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"white pox",2,0,0,0,1,0,0,2,0,2,1,0,1,0,0,1,1,0,0,0,0,7,0,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
